FRAME_NR,ROBOT_ID,ODOMETRY X,ODOMETRY Y,ODOMETRY THETA,POSITION X,POSITION Y,POSITION THETA,SPEED X,SPEED Y,SPEED W,GOAL IN FOV,HAS GOAL,X_MIN,X_MAX,Y_MIN,Y_MAX,TIMESTAMP
588,0,1.436727769060638,4.509931543090179,-0.10001423447561883,0.509470153570114,2.4630403245154686,0.13484172199255917,0.10007431394998095,0.0015991197746268726,-0.3564549633555564,False,False,0,0,0,0,71.68938732147217
589,0,1.4610568304781066,4.504601815651469,-0.14591684239923927,0.5139426450686895,2.462039244176654,0.12235304521022107,0.36152425613829753,-0.027522781718462175,-0.3617558060506114,False,False,0,0,0,0,71.79546546936035
590,0,1.516976379124533,4.487072602057705,-0.19975724035574832,0.5427700428580788,2.4525169095639288,0.050588933760502094,0.6455176388117965,-0.051940479014883106,-0.15644582141706387,False,False,0,0,0,0,71.90484619140625
591,0,1.5965826239010512,4.462301821851721,-0.25311309237640006,0.586,2.442,0.0081,0.9452309813574065,-0.06883829240320483,-0.1792880917637918,False,False,0,0,0,0,72.01133632659912
592,0,1.7237205857842295,4.425337818590479,-0.2989441399443197,0.67,2.427,-0.0391,1.173768028253466,0.038993874127126515,-0.03156275556036281,False,False,0,0,0,0,72.12040567398071
593,0,1.8660825562805783,4.383993531078184,-0.33836402551524536,0.7720896937688181,2.4049350519275934,-0.08948949266501896,1.3067708779982636,0.11274264698351233,0.024107853300395554,False,False,0,0,0,0,72.22737503051758
594,0,2.02436001155943,4.34714892170663,-0.346225372147708,0.9082348912920335,2.379999902640719,-0.12494404098230842,1.3341650338171935,0.17527401785048408,0.0185354063873997,True,False,0,0,0,0,72.33585453033447
595,0,2.1839995766229623,4.320707272967042,-0.28536370586114446,1.0515261083663212,2.35951396363442,-0.08731770868669515,1.3927919349821345,0.23302716894046865,0.43913316360500465,False,False,0,0,0,0,72.44579982757568
596,0,2.344607359087133,4.301205263724704,-0.2319258851405539,1.183,2.351,-0.0402,1.3749504906755035,0.20645849066912414,-0.16711407825662983,False,False,0,0,0,0,72.55218076705933
597,0,2.498064056514038,4.28658258973555,-0.20444676091659397,1.327,2.347,0.0123,1.3347560338275255,0.1445766200437285,-0.18025716045947515,False,False,0,0,0,0,72.65852665901184
598,0,2.649813549060346,4.270872258246895,-0.20671954298471376,1.4898360599160665,2.3569317328082584,0.03183460374803998,1.22978080528462,0.12049800375706238,-0.42548422320305956,False,False,0,0,0,0,72.76934790611267
599,0,2.777619474926669,4.253037419750523,-0.21419183082200835,1.6287281517794543,2.361901553761174,0.025114411295372452,1.17500227705535,0.07017356285451348,-0.2778594016099989,False,False,0,0,0,0,72.87365436553955
600,0,2.8989582521440735,4.235204384841854,-0.22353028847546175,1.754174084084925,2.36818670359624,0.023645392998377576,1.031576710941611,0.08440440910159236,-0.01124051920430702,False,False,0,0,0,0,72.97971439361572
601,0,3.0163012993184264,4.216824666032047,-0.23762242069532757,1.8660044548585881,2.374967021887167,0.01515223007185949,0.8778430392915338,0.07609223704783113,-0.13925481926437344,False,False,0,0,0,0,73.08762764930725
602,0,3.1031355188687972,4.206055380707618,-0.22123167664730012,1.9741155269912272,2.3801888768224213,0.016567548935203125,0.6618298290800756,0.022171613523709943,0.005429458669765186,False,False,0,0,0,0,73.19046974182129
603,0,3.1654050065457975,4.19938407445314,-0.20338007211243272,2.0663855496670473,2.3852283403609573,0.02892890868255692,0.5081643032068992,0.049452680034685226,-0.050947548926088215,False,False,0,0,0,0,73.29481530189514
604,0,3.2172358078939403,4.194488362845783,-0.18927429086082856,2.1283575567836874,2.394991333975023,0.0518738199698141,0.41206958992063836,0.0680776696969714,-0.2767088472444842,False,False,0,0,0,0,73.39792346954346
605,0,3.262006148754481,4.18922446885919,-0.2068165818868646,2.1687254567564422,2.3984383791685158,0.04471037402275584,0.4501905914987786,0.011896683796927487,-0.12584046083598555,False,False,0,0,0,0,73.50128293037415
606,0,3.311348903222663,4.18281155267724,-0.20439375011085834,2.2065783295952985,2.401304646127628,0.030399589700573527,0.4232624639562007,0.012848724242065221,-0.0745730017567694,False,False,0,0,0,0,73.60414910316467
607,0,3.358939102281234,4.177080589003898,-0.20019749245197807,2.256,2.405,0.0342,0.3890197696904911,0.014286383549678955,0.03941415651014912,False,False,0,0,0,0,73.70719909667969
608,0,3.4009473622608954,4.172447694252511,-0.2113035654039318,2.2985585211703863,2.407295175682306,0.03509137642936867,0.37555845244337177,0.06865117349193295,-0.13097773929736278,False,False,0,0,0,0,73.81576538085938
609,0,3.441851774685999,4.167959933614368,-0.21882729738972628,2.343580834313748,2.4107417792426333,0.018335041664972993,0.3358284507762881,0.03178619877978045,-0.0941197302620389,False,False,0,0,0,0,73.92514944076538
610,0,3.4774357114000254,4.164185222779598,-0.21917492011221898,2.3769598744302156,2.4158211770962787,0.028458980259485286,0.31105292522682704,0.04683542570462566,0.05350635095520673,False,False,0,0,0,0,74.03164029121399
611,0,3.5097632874702285,4.159787153576627,-0.22481793710243037,2.4069549700329524,2.417677951145344,0.018811228730963553,0.2896231255382526,0.030127540710079212,-0.1415589954414339,False,False,0,0,0,0,74.13653516769409
612,0,3.5406836859571147,4.157529059277861,-0.226329882848567,2.4371114710497306,2.419185511853613,0.019311560057091445,0.28143032413909475,0.03468733668810085,-0.02324691201400797,False,False,0,0,0,0,74.24328327178955
613,0,3.5714868427680853,4.154974998132268,-0.22171630577325177,2.4688393998638376,2.424194865499732,0.008329563818566161,0.24686659706852776,0.03379666717680724,-0.10284463443002445,False,False,0,0,0,0,74.34866213798523
